origin_date,Scans,Manual Entries
2020-12-20,519593,21150
2020-12-21,605416,24183
2020-12-22,615908,24223
2020-12-23,577967,24214
2020-12-24,223385,11682
2020-12-25,170461,7482
2020-12-26,307706,12912
2020-12-27,338519,13733
2020-12-28,412284,18132
2020-12-29,445167,18478
2020-12-30,446072,18501
2020-12-31,309136,14416
2021-01-01,278524,11495
2021-01-02,330222,13720
2021-01-03,327649,14104
2021-01-04,438323,18174
2021-01-05,500349,21655
2021-01-06,501939,21489
2021-01-07,506460,19942
2021-01-08,505021,19392
2021-01-09,394317,15598
2021-01-10,462158,18928
2021-01-11,518847,20660
2021-01-12,534496,22367
2021-01-13,574525,27048
2021-01-14,612938,25417
2021-01-15,590265,24760
2021-01-16,485980,20152
2021-01-17,548034,22524
2021-01-18,644154,26661
2021-01-19,654416,25586
2021-01-20,655471,24125
2021-01-21,658393,24024
2021-01-22,634641,23833
2021-01-23,520996,20487
2021-01-24,816605,93759
2021-01-25,1071707,63414
2021-01-26,1075778,51541
2021-01-27,1157216,68167
2021-01-28,1290492,62786
2021-01-29,1278734,54268
2021-01-30,1028021,40983
2021-01-31,922589,35018
2021-02-01,1009644,36745
2021-02-02,1044690,37236
2021-02-03,1020471,36856
2021-02-04,1033386,37058
2021-02-05,977242,34679
2021-02-06,836044,30943
2021-02-07,698029,24868
2021-02-08,832355,27843
2021-02-09,890826,31954
2021-02-10,884751,29968
2021-02-11,922672,30234
2021-02-12,893485,28415
2021-02-13,733016,24709
2021-02-14,1280066,112347
2021-02-15,1501679,56841
2021-02-16,1575084,49612
2021-02-17,1764262,52774
2021-02-18,1854993,48599
2021-02-19,1748817,44309
2021-02-20,1402855,34417
2021-02-21,1375485,35550
2021-02-22,1354728,35832
2021-02-23,1379317,46128
2021-02-24,1394717,40588
2021-02-25,1397820,40336
2021-02-26,1390387,40610
2021-02-27,1318522,71189
2021-02-28,1520302,48199
2021-03-01,1580664,45953
2021-03-02,1573337,41690
2021-03-03,1563692,38881
2021-03-04,1531690,34240
2021-03-05,1502818,30721
2021-03-06,1437982,27514
2021-03-07,1542144,34291
2021-03-08,1499321,35551
2021-03-09,1475265,34147
2021-03-10,1418138,33104
2021-03-11,1470030,33404
2021-03-12,1344059,30589
2021-03-13,1113070,25873
2021-03-14,1108671,27938
2021-03-15,1135788,28098
2021-03-16,1125491,27889
2021-03-17,1106354,28071
2021-03-18,1141332,27564
2021-03-19,1105106,26028
2021-03-20,910056,21630
2021-03-21,910493,22879
2021-03-22,947976,24644
2021-03-23,977922,26936
2021-03-24,985710,25595
2021-03-25,1009532,26806
2021-03-26,962242,23831
2021-03-27,802140,20161
2021-03-28,800398,21567
2021-03-29,837898,22369
2021-03-30,878808,23778
2021-03-31,934515,24625
2021-04-01,597020,17954
2021-04-02,618332,15608
2021-04-03,600425,17114
2021-04-04,429723,12995
2021-04-05,731707,19258
2021-04-06,831560,22158
2021-04-07,821050,24132
2021-04-08,869660,29596
2021-04-09,815255,25993
2021-04-10,658393,23615
2021-04-11,726671,32281
2021-04-12,804661,35897
2021-04-13,811330,31543
2021-04-14,811861,36311
2021-04-15,836565,30335
2021-04-16,788946,27788
2021-04-17,668658,23472
2021-04-18,678987,26601
2021-04-19,753338,27645
2021-04-20,767409,34023
2021-04-21,811817,30470
2021-04-22,815600,29274
2021-04-23,797470,28124
2021-04-24,573665,25379
2021-04-25,540106,21693
2021-04-26,659487,26636
2021-04-27,755555,28322
2021-04-28,749850,27375
2021-04-29,752144,27070
2021-04-30,721817,26284
2021-05-01,602267,22571
2021-05-02,613329,24655
2021-05-03,662454,25370
2021-05-04,675427,24944
2021-05-05,682719,26846
2021-05-06,714461,28352
2021-05-07,679487,26006
2021-05-08,561361,21242
2021-05-09,566847,23535
2021-05-10,612038,24559
2021-05-11,606803,24399
2021-05-12,623984,24878
2021-05-13,648845,24236
2021-05-14,616029,22961
2021-05-15,537623,19999
2021-05-16,529966,25368
2021-05-17,551120,23832
2021-05-18,591375,24081
2021-05-19,600816,23142
2021-05-20,607824,23257
2021-05-21,576295,21427
2021-05-22,489264,18529
2021-05-23,479690,20067
2021-05-24,520694,22023
2021-05-25,558595,24318
2021-05-26,577036,25033
2021-05-27,609887,29068
2021-05-28,585759,26866
2021-05-29,474627,22112
2021-05-30,449589,23102
2021-05-31,506950,24411
2021-06-01,553267,29310
2021-06-02,572279,27105
2021-06-03,591765,25711
2021-06-04,605316,43817
2021-06-05,520270,25166
2021-06-06,405680,22152
2021-06-07,473099,26048
2021-06-08,552404,27004
2021-06-09,557118,26460
2021-06-10,570826,25596
2021-06-11,539532,22934
2021-06-12,449489,20423
2021-06-13,445476,22488
2021-06-14,472994,23829
2021-06-15,504841,23880
2021-06-16,518631,25011
2021-06-17,531454,24685
2021-06-18,509579,24288
2021-06-19,415261,19518
2021-06-20,413270,22458
2021-06-21,471725,23750
2021-06-22,572746,67640
2021-06-23,895834,106823
2021-06-24,961906,55495
2021-06-25,942473,48508
2021-06-26,792128,39649
2021-06-27,755205,48065
2021-06-28,806658,50385
2021-06-29,806154,39891
2021-06-30,858644,38571
2021-07-01,844981,35533
2021-07-02,815144,33305
2021-07-03,703973,29384
2021-07-04,660574,31315
2021-07-05,695689,31712
2021-07-06,703790,33116
2021-07-07,720507,31668
2021-07-08,726658,31573
2021-07-09,718993,30274
2021-07-10,628337,26972
2021-07-11,590761,29059
2021-07-12,657295,30418
2021-07-13,674317,29293
2021-07-14,696012,30319
2021-07-15,701051,29638
2021-07-16,626674,26242
2021-07-17,499839,22639
2021-07-18,547508,26660
2021-07-19,624094,29026
2021-07-20,648848,29171
2021-07-21,626733,28712
2021-07-22,641684,28028
2021-07-23,641951,28839
2021-07-24,543283,25107
2021-07-25,512442,27196
2021-07-26,551162,27592
2021-07-27,580863,26891
2021-07-28,602506,26973
2021-07-29,618186,27892
2021-07-30,586522,24576
2021-07-31,503668,23243
2021-08-01,499474,24490
2021-08-02,530983,24865
2021-08-03,540928,24438
2021-08-04,568877,27075
2021-08-05,575603,25459
2021-08-06,572642,23650
2021-08-07,475993,20584
2021-08-08,439215,23594
2021-08-09,522059,26050
2021-08-10,579499,25322
2021-08-11,615330,28976
2021-08-12,643727,27671
2021-08-13,624908,27148
2021-08-14,529429,22905
2021-08-15,527370,25778
2021-08-16,556552,25314
2021-08-17,760109,255302
2021-08-18,497085,227640
