origin_date,Active Devices
2021-02-25,696849
2021-02-26,691210
2021-02-27,701545
2021-02-28,807694
2021-03-01,805765
2021-03-02,815036
2021-03-03,807011
2021-03-04,788296
2021-03-05,763491
2021-03-06,731898
2021-03-07,768315
2021-03-08,752534
2021-03-09,742377
2021-03-10,736489
2021-03-11,724380
2021-03-12,661487
2021-03-13,576388
2021-03-14,588538
2021-03-15,594123
2021-03-16,588024
2021-03-17,584514
2021-03-18,582603
2021-03-19,556381
2021-03-20,479192
2021-03-21,492134
2021-03-22,506548
2021-03-23,517609
2021-03-24,522022
2021-03-25,523382
2021-03-26,491183
2021-03-27,426384
2021-03-28,438349
2021-03-29,451950
2021-03-30,462849
2021-03-31,483762
2021-04-01,355999
2021-04-02,335266
2021-04-03,334594
2021-04-04,262450
2021-04-05,393473
2021-04-06,436065
2021-04-07,432945
2021-04-08,453121
2021-04-09,422810
2021-04-10,352651
2021-04-11,401590
2021-04-12,433612
2021-04-13,431683
2021-04-14,434933
2021-04-15,429984
2021-04-16,403888
2021-04-17,351223
2021-04-18,369736
2021-04-19,395708
2021-04-20,406016
2021-04-21,423717
2021-04-22,419034
2021-04-23,404587
2021-04-24,311922
2021-04-25,302198
2021-04-26,355975
2021-04-27,389363
2021-04-28,388423
2021-04-29,389181
2021-04-30,369823
2021-05-01,317803
2021-05-02,338255
2021-05-03,355889
2021-05-04,359046
2021-05-05,363638
2021-05-06,374380
2021-05-07,352438
2021-05-08,299247
2021-05-09,317763
2021-05-10,333154
2021-05-11,330800
2021-05-12,337524
2021-05-13,342656
2021-05-14,322947
2021-05-15,284900
2021-05-16,295019
2021-05-17,303896
2021-05-18,322358
2021-05-19,326557
2021-05-20,326280
2021-05-21,299730
2021-05-22,261315
2021-05-23,268877
2021-05-24,286602
2021-05-25,301828
2021-05-26,313009
2021-05-27,324347
2021-05-28,309943
2021-05-29,255175
2021-05-30,256187
2021-05-31,281826
2021-06-01,300753
2021-06-02,309351
2021-06-03,313616
2021-06-04,318045
2021-06-05,271170
2021-06-06,224634
2021-06-07,266503
2021-06-08,297801
2021-06-09,299793
2021-06-10,306013
2021-06-11,286327
2021-06-12,242941
2021-06-13,252590
2021-06-14,265104
2021-06-15,276758
2021-06-16,283107
2021-06-17,286469
2021-06-18,271606
2021-06-19,226835
2021-06-20,237887
2021-06-21,262074
2021-06-22,318622
2021-06-23,482433
2021-06-24,491460
2021-06-25,475317
2021-06-26,399592
2021-06-27,404930
2021-06-28,430272
2021-06-29,434548
2021-06-30,448953
2021-07-01,436388
2021-07-02,418608
2021-07-03,356799
2021-07-04,357404
2021-07-05,371356
2021-07-06,372903
2021-07-07,380327
2021-07-08,379057
2021-07-09,367985
2021-07-10,324897
2021-07-11,321561
2021-07-12,346003
2021-07-13,352810
2021-07-14,361282
2021-07-15,359956
2021-07-16,325928
2021-07-17,272182
2021-07-18,301763
2021-07-19,331297
2021-07-20,339043
2021-07-21,332183
2021-07-22,336034
2021-07-23,330349
2021-07-24,288639
2021-07-25,287860
2021-07-26,302929
2021-07-27,314729
2021-07-28,324665
2021-07-29,327936
2021-07-30,308161
2021-07-31,270437
2021-08-01,280462
2021-08-02,291148
2021-08-03,295295
2021-08-04,307737
2021-08-05,304829
2021-08-06,297137
2021-08-07,255562
2021-08-08,249736
2021-08-09,286535
2021-08-10,307979
2021-08-11,326906
2021-08-12,334933
2021-08-13,322241
2021-08-14,279923
2021-08-15,291255
2021-08-16,302340
2021-08-17,500666
