Location,Address,Day,Times,Date_Added,area,latitude,longitude
McDonalds Stoddard Road,"22 Stoddard Road, Wesley, 1041",Friday 13 August,10.00 pm - 10.30 pm,18-Aug,Auckland,-36.90771793,174.734226
Mexico Britomart,"23 Britomart Place, Auckland Central, 1010",Monday 9 August,5.55 pm - 8.15 pm,18-Aug,Auckland,-36.84524024,174.7703086
Pak n Save Wairau,"30-60 Wairau Road, Glenfield, 0627",Sunday 15 August,11.00 pm - 12.00 pm,18-Aug,Auckland,-36.77886403,174.7441256
Pak n Save Wairau Road,"30 Wairau Road, Wairau Valley, Auckland 0627",Saturday 14 August,3.20 pm - 3.50 pm,18-Aug,Auckland,-36.77886403,174.7441256
Passion Bakery,"34 Birkdale Road, Birkdale, Auckland 0626",Monday 16 August,12.45 pm - 1.15 pm,18-Aug,Auckland,-36.80584289,174.7044872
Pizza Hut Birkenhead,"3/75 Mokoia Road, Birkenhead, 0626",Monday 16 August,1.30 pm - 2.00 pm,18-Aug,Auckland,-36.81170119,174.7233548
Remuera Exchange,"2A Dilworth Avenue, Remura, Auckland 1050",Tuesday 17 August,1.33 pm - 1.35 pm,18-Aug,Auckland,-36.87585527,174.7852832
Richardsons Real Estate Coromandel,"151 Kapanga Road, Coromandel, 3506",Saturday 14 August,3:30 pm - 3.35 pm,17-Aug,Coromandel,-36.75879716,175.4979471
Sky City Casino,72 Victoria Street West Auckland Central,Saturday 14 August,1.15 am - 3.00 am,18-Aug,Auckland,-36.84882254,174.7619919
St Pierre's Sushi Auckland CBD,"20 Elliott Street, Auckland Central, Auckland 1010",Tuesday 10 August,1.00 pm - 1.15 pm,18-Aug,Auckland,-36.85027489,174.7640534
St Pierres Sushi Elliot Street,"20 Elliott Street, Auckland Central, Auckland 1010",Wednesday 11 August,11.30 am - 12.00 pm,18-Aug,Auckland,-36.85027489,174.7640534
Star and Garter Hotel Coromandel,"5 Kapanga Road, Coromandel 3506",Friday 13 August,6:39 pm - 7.40 pm,17-Aug,Coromandel,-36.76001249,175.4972338
Star and Garter Hotel Coromandel,"5 Kapanga Road, Coromandel 3506",Saturday 14 August,7:11 pm - 9.00 pm,17-Aug,Coromandel,-36.76001249,175.4972338
Starbucks Queen Street,"220 Queen Street, City Centre, 1010",Friday 13 August,12.15 pm - 12.30 pm,18-Aug,Auckland,-36.84923317,174.7654527
Sumthin Dumplin,"18 Wellesley Street East, Auckland Central, 1010",Tuesday 3 August,1.45 pm - 2.00 pm,18-Aug,Auckland,-36.85098982,174.7654462
Sweat Shop Brew Kitchen,"7 Sale Street, Freemans Bay, Auckland CBD, 1010",Friday 13 August,9.00 pm - 12.00 am,18-Aug,Auckland,-36.84902772,174.7568861
Taras Beads Coromandel,"1/75 Kapanga Road, Coromandel, 3506",Saturday 14 August,3:00 pm - 3.10 pm,17-Aug,Coromandel,-36.75951416,175.4976512
Taras Beads Coromandel,"1/75 Kapanga Road, Coromandel, 3506",Sunday 15 August,10.00 am - 10.05 am,17-Aug,Coromandel,-36.75951416,175.4976512
The Good Home Birkenhhead,"83 Birkenhead Avenue, Birkenhead, 0626",Saturday 14 August,6.30 pm - 7.00 pm,18-Aug,Auckland,-36.81057741,174.7258389
The Pumphouse Theatre,"2A Manurere Avenue, Takapuna, 0622",Sunday 15 August,1.30 pm - 7.30 pm,18-Aug,Auckland,-36.78530105,174.7676723
The Warehouse Auckland CBD,"21 Elliott Street, Auckland Central, 1010",Tuesday 10 August,1.15 pm - 1.30 pm,18-Jan,Auckland,-36.84983032,174.7638216
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Friday 13 August,7:40 pm - 8.30 pm,17-Aug,Coromandel,-36.76003892,175.496981
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Saturday 14 August,6:17 pm - 7.11 pm,17-Aug,Coromandel,-36.76003892,175.496981
Umu Cafe Coromandel,"22 Wharf Road, Coromandel,3506",Sunday 15 August,10.14 am - 11.10 am,17-Aug,Coromandel,-36.76003892,175.496981
Unichem Pharmacy Birkenhead,"Birkenhead Avenue Shop 28, Highbury Shopping Centre",Tuesday 17 August,9.15 am - 9.30 am,18-Aug,Auckland,"-36.81162541377753,",174.7246871
Unique Hardware Rosedale,"1/16 Arrenway Drive, Rosedale, Auckland 0632",Thursday 12 August,12.30 pm - 1.00 pm,18-Aug,Auckland,-36.74204117,174.7220291
Warehouse New Lynn,"7/13 Rata Street, New Lynn, Auckland 0600",Monday 16 August,7.45 am - 8.15am,18-Aug,Auckland,-36.90792777,174.679168
Woodturners Café,3815 State Highway 2 RD6 Mangatarata,Sunday 15 August,12.40 pm - 1.25 pm,17-Aug,Coromandel,-37.28996144,175.3808898
