origin_date,App registrations,NZBN Registered Businesses
2021-02-11,1315,59
2021-02-12,869,52
2021-02-13,1062,13
2021-02-14,24713,860
2021-02-15,28865,861
2021-02-16,15351,422
2021-02-17,16312,352
2021-02-18,8207,189
2021-02-19,4874,99
2021-02-20,3631,41
2021-02-21,3590,51
2021-02-22,2141,96
2021-02-23,3347,91
2021-02-24,3183,92
2021-02-25,2475,92
2021-02-26,2394,59
2021-02-27,8224,76
2021-02-28,12978,292
2021-03-01,9358,342
2021-03-02,6399,263
2021-03-03,3681,0
2021-03-04,4020,260
2021-03-05,3350,69
2021-03-06,2643,40
2021-03-07,2936,64
2021-03-08,2755,98
2021-03-09,2010,82
2021-03-10,1820,83
2021-03-11,1703,76
2021-03-12,1496,57
2021-03-13,1257,34
2021-03-14,1375,31
2021-03-15,894,55
2021-03-16,1125,61
2021-03-17,1063,44
2021-03-18,1096,49
2021-03-19,1035,36
2021-03-20,1313,13
2021-03-21,1203,24
2021-03-22,1190,54
2021-03-23,1334,64
2021-03-24,1195,65
2021-03-25,1153,42
2021-03-26,772,35
2021-03-27,939,19
2021-03-28,963,25
2021-03-29,948,35
2021-03-30,931,49
2021-03-31,878,38
2021-04-01,916,19
2021-04-02,656,13
2021-04-03,663,16
2021-04-04,565,18
2021-04-05,723,34
2021-04-06,1238,48
2021-04-07,1164,41
2021-04-08,1075,51
2021-04-09,946,27
2021-04-10,773,12
2021-04-11,777,20
2021-04-12,843,33
2021-04-13,843,52
2021-04-14,977,32
2021-04-15,902,39
2021-04-16,1163,24
2021-04-17,1034,23
2021-04-18,1175,23
2021-04-19,2247,40
2021-04-20,1845,56
2021-04-21,1572,44
2021-04-22,1558,38
2021-04-23,1584,25
2021-04-24,1438,15
2021-04-25,1192,17
2021-04-26,1380,15
2021-04-27,1367,43
2021-04-28,1342,32
2021-04-29,1405,35
2021-04-30,1336,25
2021-05-01,1165,12
2021-05-02,981,18
2021-05-03,1338,27
2021-05-04,1179,44
2021-05-05,1130,38
2021-05-06,1393,17
2021-05-07,1288,25
2021-05-08,939,9
2021-05-09,1122,15
2021-05-10,1448,46
2021-05-11,1174,31
2021-05-12,1215,34
2021-05-13,1186,38
2021-05-14,976,15
2021-05-15,1038,9
2021-05-16,1136,17
2021-05-17,1248,27
2021-05-18,1066,27
2021-05-19,1032,22
2021-05-20,1037,24
2021-05-21,1056,19
2021-05-22,855,9
2021-05-23,1015,19
2021-05-24,1161,41
2021-05-25,1017,30
2021-05-26,923,30
2021-05-27,802,35
2021-05-28,1054,23
2021-05-29,813,6
2021-05-30,827,23
2021-05-31,916,29
2021-06-01,844,35
2021-06-02,911,22
2021-06-03,977,24
2021-06-04,1078,25
2021-06-05,787,24
2021-06-06,843,8
2021-06-07,1050,21
2021-06-08,716,41
2021-06-09,938,42
2021-06-10,1189,39
2021-06-11,1113,20
2021-06-12,889,16
2021-06-13,897,20
2021-06-14,1002,41
2021-06-15,907,27
2021-06-16,972,19
2021-06-17,1038,31
2021-06-18,1122,31
2021-06-19,1057,12
2021-06-20,1003,14
2021-06-21,1246,25
2021-06-22,1237,40
2021-06-23,6113,176
2021-06-24,3685,87
2021-06-25,2653,40
2021-06-26,2333,30
2021-06-27,1871,30
2021-06-28,2797,82
2021-06-29,1844,49
2021-06-30,985,52
2021-07-01,994,40
2021-07-02,881,28
2021-07-03,752,0
2021-07-04,835,44
2021-07-05,1066,33
2021-07-06,1082,33
2021-07-07,1077,32
2021-07-08,1105,20
2021-07-09,1152,29
2021-07-10,1100,14
2021-07-11,1009,23
2021-07-12,1126,42
2021-07-13,1117,29
2021-07-14,1140,39
2021-07-15,1190,28
2021-07-16,973,26
2021-07-17,818,12
2021-07-18,853,30
2021-07-19,688,33
2021-07-20,791,51
2021-07-21,753,31
2021-07-22,847,32
2021-07-23,789,19
2021-07-24,523,16
2021-07-25,448,20
2021-07-26,619,34
2021-07-27,526,31
2021-07-28,546,32
2021-07-29,511,37
2021-07-30,520,20
2021-07-31,477,12
2021-08-01,444,15
2021-08-02,457,36
2021-08-03,425,30
2021-08-04,479,41
2021-08-05,463,33
2021-08-06,395,21
2021-08-07,302,12
2021-08-08,361,15
2021-08-09,439,36
2021-08-10,430,39
2021-08-11,605,42
2021-08-12,616,44
2021-08-13,571,26
2021-08-14,446,17
2021-08-15,465,18
2021-08-16,489,41
